Item Name,Qty,Price (total) (USD),Item link,Notes
Seeed Studio XIAO ESP32 S3 Sense,1,$27.25,https://www.aliexpress.us/item/3256806801797211.html?spm=a2g0o.productlist.main.1.159dk6ZEk6ZEuo&algo_pvid=2c96fff0-a2b4-4c39-812b-06d762a03197&algo_exp_id=2c96fff0-a2b4-4c39-812b-06d762a03197-0&pdp_ext_f=%7B%22order%22%3A%221267%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2127.25%2110.81%21%21%21184.37%2173.12%21%40210328df17835824790495627e0fea%2112000051692291411%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3b72157b%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262906&curPageLogUid=0ErpKN1PxpTR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006988111963%7C_p_origin_prod%3A,Brains of machine
DC Gearbox Motor,1,$3.98,https://www.aliexpress.us/item/2261800123340069.html?spm=a2g0o.productlist.main.1.79d9e012go5UBd&algo_pvid=989cb12d-cae6-4cbe-9a94-d4374dc4a537&algo_exp_id=989cb12d-cae6-4cbe-9a94-d4374dc4a537-0&pdp_ext_f=%7B%22order%22%3A%22202%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.98%210.99%21%21%213.98%210.99%21%4021033d1217835825457483102efc64%2112000041506175004%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A18434d46%3Bm03_new_user%3A-29895%3BpisId%3A5000000207260769&curPageLogUid=T3HRxQK8XyLl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A10000309654821%7C_p_origin_prod%3A,Base of drivetrain
Motor Driver,1,$4.65,https://www.aliexpress.com/ssr/300000512/BundleDeals2?spm=a2g0o.productlist.main.1.6a8a10daKOCHdA&productIds=1005006982852358%3A12000038936863588&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006982852358%7C_p_origin_prod%3A1005007543760211&pvid=b2abd550-fc5d-4741-b3da-97792ede3a2a&_gl=1*1mr8g92*_gcl_aw*R0NMLjE3ODM1ODI0NDYuQ2owS0NRandqYjNTQmhEZ0FSSXNBTUtpV3pqQ2JBM3p3YjdSRVItWEpsWF9MM0ZqcFZCMm5HU2hSVVoxNTVUMkttc3BNWG9hYk5vaWVKZ2FBcXY4RUFMd193Y0I.*_gcl_au*MTc2NDU3NTY1LjE3ODM1ODI0NDY.*_ga*MTg2OTAzOTMwMi4xNzgzNTgyNDgy*_ga_VED1YSGNC7*czE3ODM1ODI0ODEkbzEkZzEkdDE3ODM1ODI2NTgkajExJGwwJGgw,Controls motors
Screw Mounted Roller Ball Bearings,1,$19.97,https://www.amazon.com/gp/product/B0GTTZ6B9N/ref=ox_sc_act_title_1?smid=A1F6L7GOCJ49IL&psc=1,Supports drivetrain
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,6.7,,,